fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
1,0.25118864315095824,0.4818376068376069,0.45416666666666666,0.45454545454545453,20,131,33,0.7777777777777778,0.2631578947368421,0.3333333333333333,1.0
2,10.0,0.2659285159285159,0.29583333333333334,0.30303030303030304,20,131,33,0.6666666666666666,0.1875,0.3333333333333333,0.0
3,0.25118864315095824,0.556003256003256,0.5452380952380952,0.5757575757575758,20,131,33,0.6923076923076923,0.4375,1.0,0.6666666666666666
4,0.039810717055349734,0.37926887926887926,0.37142857142857144,0.42424242424242425,19,131,33,0.625,0.2777777777777778,0.5,0.6
5,1.584893192461114,0.30978354978354977,0.3625,0.46875,20,132,32,0.5714285714285714,0.3125,0.75,0.6
