fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center
1,10.0,0.37450980392156863,0.4,0.5,141,76,20,0.7142857142857143,0.3,0.6666666666666666
2,10.0,0.4031746031746032,0.5,0.47368421052631576,124,77,19,0.2857142857142857,0.375,1.0
3,10.0,0.4707070707070707,0.5083333333333333,0.5789473684210527,144,77,19,0.5384615384615384,0.6,1.0
4,10.0,0.41587301587301584,0.39166666666666666,0.47368421052631576,133,77,19,0.625,0.25,0.6666666666666666
5,10.0,0.598421052631579,0.6166666666666667,0.7368421052631579,143,77,19,1.0,0.16666666666666666,1.0
