fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
1,0.25118864315095824,0.4525474525474526,0.45138888888888884,0.45454545454545453,20,131,33,0.2,0.375,1.0,1.0
2,1.584893192461114,0.41031746031746036,0.43333333333333335,0.45454545454545453,20,131,33,0.6,0.35294117647058826,0.3333333333333333,0.6666666666666666
3,1.584893192461114,0.31616300366300365,0.31666666666666665,0.30303030303030304,20,131,33,0.09090909090909091,0.3125,1.0,0.6
4,0.25118864315095824,0.5630295630295631,0.5648809523809524,0.5757575757575758,20,131,33,0.4,0.6111111111111112,0.5,1.0
5,0.25118864315095824,0.3325757575757575,0.4053571428571428,0.40625,20,132,32,0.4,0.3333333333333333,0.0,1.0
