fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center
1,1.584893192461114,0.5976190476190476,0.645,0.55,159,76,20,0.5,0.5555555555555556,0.6666666666666666
2,1.584893192461114,0.6605128205128207,0.775,0.6842105263157895,136,77,19,0.7142857142857143,0.625,0.75
3,10.0,0.40857142857142853,0.4416666666666666,0.42105263157894735,340,77,19,0.3333333333333333,0.5,1.0
4,10.0,0.44259740259740266,0.4666666666666666,0.5263157894736842,324,77,19,0.625,0.5,0.3333333333333333
5,1.584893192461114,0.5244444444444444,0.55,0.6842105263157895,152,77,19,0.8181818181818182,0.3333333333333333,1.0
