fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center
1,0.25118864315095824,0.5904761904761904,0.5916666666666666,0.65,20,76,20,0.6363636363636364,0.5714285714285714,1.0
2,10.0,0.49641025641025643,0.5166666666666667,0.47368421052631576,20,77,19,0.14285714285714285,0.5714285714285714,0.8
3,0.039810717055349734,0.34285714285714286,0.4583333333333333,0.47368421052631576,18,77,19,0.45454545454545453,0.3333333333333333,1.0
4,10.0,0.4466666666666666,0.525,0.5263157894736842,20,77,19,0.3333333333333333,0.6666666666666666,1.0
5,0.25118864315095824,0.4824242424242424,0.525,0.5789473684210527,20,77,19,0.5,0.5,1.0
