fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_Sowalsky
1,0.25118864315095824,0.40777777777777774,0.41500000000000004,0.44,20,99,25,0.3333333333333333,0.3888888888888889,0.75
2,1.584893192461114,0.32666666666666666,0.355,0.32,20,99,25,0.25,0.35294117647058826,0.25
3,0.039810717055349734,0.26149068322981367,0.32142857142857145,0.36,10,99,25,0.0,0.29411764705882354,1.0
4,0.25118864315095824,0.5533333333333333,0.5214285714285715,0.56,19,99,25,0.5,0.5294117647058824,0.75
5,1.584893192461114,0.3209090909090909,0.33166666666666667,0.375,20,100,24,0.25,0.375,0.5
