fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
1,10.0,0.48994708994708985,0.49583333333333335,0.5151515151515151,20,131,33,0.8888888888888888,0.3157894736842105,0.3333333333333333,1.0
2,10.0,0.3973799348799349,0.37916666666666665,0.3939393939393939,20,131,33,0.3333333333333333,0.3125,0.3333333333333333,0.8
3,10.0,0.6047979797979798,0.6089285714285714,0.6060606060606061,20,131,33,0.7692307692307693,0.4375,0.0,1.0
4,10.0,0.5202482702482701,0.5273809523809524,0.5151515151515151,20,131,33,0.25,0.5,0.5,1.0
5,1.584893192461114,0.4921879863056334,0.48055555555555557,0.5,20,132,32,0.42857142857142855,0.4375,0.5,0.8
