fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_Sowalsky
1,1.584893192461114,0.33833943833943836,0.39,0.4,20,99,25,0.0,0.3888888888888889,0.75
2,1.584893192461114,0.7357142857142857,0.75,0.76,20,99,25,1.0,0.6470588235294118,1.0
3,0.25118864315095824,0.6358730158730158,0.6214285714285713,0.64,20,99,25,1.0,0.47058823529411764,1.0
4,10.0,0.5481232492997199,0.5328571428571428,0.56,20,99,25,0.25,0.5294117647058824,1.0
5,1.584893192461114,0.7745098039215687,0.7766666666666666,0.7916666666666666,20,100,24,1.0,0.6875,1.0
