fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
1,10.0,0.37933723196881086,0.37916666666666665,0.42424242424242425,148,131,33,0.5555555555555556,0.3157894736842105,0.6666666666666666,0.5
2,1.584893192461114,0.31007834757834757,0.33749999999999997,0.3333333333333333,112,131,33,0.3333333333333333,0.3125,0.3333333333333333,0.4
3,10.0,0.5214611096964038,0.5285714285714286,0.5454545454545454,146,131,33,0.6923076923076923,0.4375,0.0,0.6666666666666666
4,10.0,0.26815281668222846,0.2571428571428571,0.2727272727272727,148,131,33,0.375,0.2222222222222222,0.5,0.2
5,1.584893192461114,0.3227124183006536,0.32916666666666666,0.375,112,132,32,0.2857142857142857,0.4375,0.25,0.4
