fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
1,1.584893192461114,0.5598407039583511,0.5833333333333334,0.5454545454545454,176,131,33,0.5,0.5,0.3333333333333333,1.0
2,10.0,0.32453703703703707,0.37083333333333335,0.36363636363636365,355,131,33,0.875,0.25,0.25,0.0
3,1.584893192461114,0.3904151404151404,0.39166666666666666,0.3939393939393939,182,131,33,0.3,0.3333333333333333,1.0,0.75
4,1.584893192461114,0.4690656565656566,0.4982142857142857,0.48484848484848486,199,131,33,0.5,0.4375,0.0,1.0
5,10.0,0.5518518518518518,0.5660714285714286,0.59375,357,132,32,0.625,0.5789473684210527,0.5,0.6666666666666666
