fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
1,10.0,0.34177396677396676,0.3458333333333334,0.3939393939393939,148,131,33,0.4444444444444444,0.3157894736842105,0.6666666666666666,0.5
2,0.25118864315095824,0.41094276094276094,0.39999999999999997,0.3939393939393939,45,131,33,0.2222222222222222,0.5,0.0,0.6
3,1.584893192461114,0.3879629629629629,0.39523809523809533,0.42424242424242425,98,131,33,0.38461538461538464,0.375,1.0,0.6666666666666666
4,1.584893192461114,0.17682317682317683,0.18928571428571428,0.21212121212121213,106,131,33,0.125,0.2222222222222222,0.5,0.2
5,10.0,0.2669172932330827,0.27638888888888885,0.3125,148,132,32,0.2857142857142857,0.1875,0.5,0.6
