fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center
1,10.0,0.731111111111111,0.6933333333333334,0.8,208,76,20,0.8181818181818182,0.7142857142857143,1.0
2,10.0,0.8016666666666665,0.8083333333333332,0.8421052631578947,214,77,19,0.6666666666666666,0.875,1.0
3,10.0,0.8825396825396824,0.85,0.8947368421052632,220,77,19,0.9090909090909091,0.8333333333333334,1.0
4,10.0,0.6155555555555556,0.725,0.5789473684210527,214,77,19,0.3333333333333333,0.75,1.0
5,10.0,0.5454545454545454,0.575,0.631578947368421,164,77,19,0.6666666666666666,0.5,1.0
