fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_Sowalsky
1,0.25118864315095824,0.1919191919191919,0.215,0.28,25,99,25,0.0,0.2222222222222222,0.75
2,1.584893192461114,0.20909090909090908,0.24,0.28,38,99,25,0.5,0.23529411764705882,0.25
3,10.0,0.3227838827838828,0.3628571428571429,0.4,39,99,25,0.75,0.29411764705882354,0.5
4,10.0,0.4768298368298368,0.45714285714285713,0.44,38,99,25,0.75,0.47058823529411764,0.0
5,1.584893192461114,0.28888888888888886,0.305,0.375,36,100,24,0.0,0.4375,0.5
