fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase
1,0.25118864315095824,0.6541666666666667,0.6875,0.6666666666666666,19,44,12,1.0,0.5
2,10.0,0.3484848484848485,0.375,0.5454545454545454,20,45,11,0.6666666666666666,0.5
3,0.039810717055349734,0.375,0.425,0.45454545454545453,15,45,11,0.3333333333333333,0.5
4,0.25118864315095824,0.47916666666666663,0.47916666666666663,0.5454545454545454,20,45,11,0.6,0.5
5,1.584893192461114,0.25396825396825395,0.41666666666666663,0.36363636363636365,20,45,11,0.5,0.2857142857142857
