fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase
1,0.25118864315095824,0.44285714285714284,0.5625,0.5833333333333334,20,44,12,0.75,0.5
2,0.25118864315095824,0.42051282051282046,0.4375,0.5454545454545454,20,45,11,0.3333333333333333,0.625
3,10.0,0.44166666666666665,0.625,0.45454545454545453,20,45,11,0.3333333333333333,0.5
4,0.25118864315095824,0.36136363636363633,0.4375,0.45454545454545453,20,45,11,0.2,0.6666666666666666
5,1.584893192461114,0.26666666666666666,0.3125,0.36363636363636365,20,45,11,0.0,0.5714285714285714
