fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_Sowalsky
1,10.0,0.28047619047619043,0.29,0.28,146,99,25,0.3333333333333333,0.2222222222222222,0.5
2,10.0,0.4032051282051282,0.40499999999999997,0.44,138,99,25,0.25,0.4117647058823529,0.75
3,10.0,0.4531746031746032,0.51,0.56,147,99,25,1.0,0.35294117647058826,1.0
4,10.0,0.5011038961038962,0.4928571428571429,0.52,146,99,25,0.5,0.5294117647058824,0.5
5,10.0,0.34218880534670004,0.3466666666666667,0.4166666666666667,147,100,24,0.0,0.4375,0.75
