fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
1,10.0,0.3780284043441939,0.3875,0.36363636363636365,20,131,33,0.3333333333333333,0.3684210526315789,0.3333333333333333,0.5
2,10.0,0.6258169934640523,0.6208333333333333,0.6060606060606061,20,131,33,0.6666666666666666,0.6875,0.3333333333333333,0.4
3,1.584893192461114,0.5992424242424242,0.6214285714285714,0.6363636363636364,20,131,33,0.8461538461538461,0.375,1.0,1.0
4,0.25118864315095824,0.4682539682539682,0.4785714285714286,0.45454545454545453,20,131,33,0.25,0.5,0.5,0.6
5,1.584893192461114,0.4947089947089947,0.48888888888888893,0.53125,20,132,32,0.42857142857142855,0.5,0.75,0.6
