fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_Sowalsky
1,10.0,0.3357142857142857,0.325,0.36,663,99,25,0.0,0.3333333333333333,0.75
2,10.0,0.5166666666666666,0.5349999999999999,0.56,537,99,25,0.5,0.5882352941176471,0.5
3,10.0,0.18535353535353533,0.23285714285714287,0.28,618,99,25,0.25,0.23529411764705882,0.5
4,1.584893192461114,0.45555555555555555,0.45285714285714285,0.48,291,99,25,0.5,0.4117647058823529,0.75
5,10.0,0.30623376623376625,0.30666666666666664,0.375,618,100,24,0.25,0.25,1.0
