fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase
1,0.25118864315095824,0.6309523809523809,0.625,0.6666666666666666,20,44,12,0.75,0.625
2,0.25118864315095824,0.33333333333333337,0.375,0.45454545454545453,19,45,11,0.3333333333333333,0.5
3,10.0,0.2125,0.3,0.36363636363636365,20,45,11,0.3333333333333333,0.375
4,10.0,0.31666666666666665,0.375,0.36363636363636365,20,45,11,0.2,0.5
5,0.25118864315095824,0.4303571428571428,0.5,0.5454545454545454,18,45,11,0.25,0.7142857142857143
