scope,row,modality,label,macro_F1_mean,macro_F1_std,macro_F1_CI95_lower,macro_F1_CI95_upper,balanced_accuracy,n_samples,n_features,n_original_features,median_C,missing_cell_frac,missing_sample_frac,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
TOO,13,probe_cpg_tt39_enriched_lasso,"TOO Per-CpG methylation (tt39, enriched, raw LASSO)",0.5583,0.0836,0.3945,0.7221,0.5720952380952382,124,1285,,10.0,0.3583971381950546,1.0,0.25,0.5876633986928105,,0.85
TOO EDTA,1,probe_meth,TOO EDTA Methylation (probe-avg),0.4743,0.2106,0.0616,0.8871,0.485,56,148,,10.0,0.0,0.0,0.4733333333333333,0.6011904761904762,,
TOO EDTA,2,probe_meth_unenriched,"TOO EDTA Methylation (probe-avg, unenriched)",0.4161,0.111,0.1984,0.6337,0.44666666666666666,56,148,,1.5849,0.00024131274131274132,0.03571428571428571,0.48,0.5107142857142857,,
TOO EDTA,3,probe_meth_unfiltered_qc,"TOO EDTA Methylation (probe-avg, unfiltered QC)",0.4719,0.0382,0.397,0.5467,0.5033333333333333,56,148,,1.5849,0.00024131274131274132,0.03571428571428571,0.5066666666666666,0.605952380952381,,
TOO EDTA,4,probe_cpg,TOO EDTA Per-CpG methylation (32K->PCs),0.3866,0.0748,0.24,0.5332,0.475,56,20,31674.0,0.2512,0.051188333829459046,1.0,0.3233333333333333,0.5726190476190476,,
TOO EDTA,5,probe_cpg_enriched,TOO EDTA Per-CpG methylation (enriched),0.4222,0.1525,0.1233,0.721,0.4766666666666667,56,20,47383.0,0.2512,0.2781678781720991,1.0,0.6199999999999999,0.45714285714285713,,
TOO EDTA,6,probe_cpg_agg_unenriched,"TOO EDTA Per-CpG methylation (aggregated to probes, unenriched)",0.4489,0.1529,0.1493,0.7485,0.495,56,148,,10.0,0.0,0.0,0.43,0.6107142857142857,,
TOO EDTA,7,probe_cpg_agg_enriched,"TOO EDTA Per-CpG methylation (aggregated to probes, enriched)",0.4612,0.1366,0.1934,0.7291,0.4766666666666667,56,148,,1.5849,0.0,0.0,0.5399999999999999,0.5345238095238096,,
TOO EDTA,8,probe_meth_tt39_enriched,"TOO EDTA Methylation (probe-avg, tt39, enriched)",0.3452,0.1482,0.0548,0.6356,0.3583333333333333,56,39,,10.0,0.0,0.0,0.39666666666666667,0.36428571428571427,,
TOO EDTA,9,probe_meth_tt39_unenriched,"TOO EDTA Methylation (probe-avg, tt39, unenriched)",0.2828,0.1347,0.0188,0.5468,0.30916666666666665,56,39,,1.5849,0.0,0.0,0.25666666666666665,0.41428571428571426,,
TOO EDTA,10,probe_cpg_tt39_unenriched,"TOO EDTA Per-CpG methylation (tt39, unenriched)",0.3848,0.1578,0.0754,0.6941,0.43499999999999994,56,20,766.0,0.2512,0.04238157403953748,1.0,0.3733333333333333,0.5428571428571429,,
TOO EDTA,11,probe_cpg_tt39_unenriched_lasso,"TOO EDTA Per-CpG methylation (tt39, unenriched, raw LASSO)",0.295,0.0511,0.1947,0.3952,0.3516666666666666,56,766,,1.5849,0.04238157403953748,1.0,0.15,0.519047619047619,,
TOO EDTA,12,probe_cpg_tt39_enriched,"TOO EDTA Per-CpG methylation (tt39, enriched)",0.583,0.1858,0.2189,0.9472,0.635,56,20,1158.0,10.0,0.2866549469528744,1.0,0.5566666666666668,0.6761904761904762,,
TOO EDTA,13,probe_cpg_tt39_enriched_lasso,"TOO EDTA Per-CpG methylation (tt39, enriched, raw LASSO)",0.6388,0.1818,0.2825,0.9952,0.6983333333333334,56,1158,,10.0,0.2866549469528744,1.0,0.8033333333333333,0.6678571428571429,,
