fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase
1,1.584893192461114,0.26136363636363635,0.3125,0.4166666666666667,125,44,12,0.5,0.375
2,10.0,0.3484848484848485,0.375,0.45454545454545453,387,45,11,0.0,0.625
3,0.25118864315095824,0.3492063492063492,0.4666666666666666,0.36363636363636365,38,45,11,0.0,0.5
4,10.0,0.23809523809523808,0.3125,0.36363636363636365,311,45,11,0.0,0.6666666666666666
5,1.584893192461114,0.2777777777777778,0.29166666666666663,0.36363636363636365,151,45,11,0.25,0.42857142857142855
