fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_Sowalsky
1,10.0,0.30317460317460315,0.315,0.36,148,99,25,0.3333333333333333,0.3333333333333333,0.5
2,0.25118864315095824,0.4121212121212121,0.425,0.44,32,99,25,0.25,0.4117647058823529,0.75
3,10.0,0.23230769230769233,0.2757142857142857,0.28,145,99,25,0.25,0.29411764705882354,0.25
4,10.0,0.3536796536796537,0.39714285714285713,0.4,146,99,25,0.5,0.4117647058823529,0.25
5,1.584893192461114,0.19111111111111112,0.21666666666666665,0.25,88,100,24,0.0,0.25,0.5
