fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
1,10.0,0.4247076023391812,0.4291666666666667,0.48484848484848486,148,131,33,0.5555555555555556,0.42105263157894735,0.3333333333333333,1.0
2,10.0,0.32112332112332115,0.33749999999999997,0.36363636363636365,145,131,33,0.4444444444444444,0.25,0.6666666666666666,0.4
3,1.584893192461114,0.40158730158730155,0.4142857142857143,0.42424242424242425,101,131,33,0.6923076923076923,0.25,0.0,0.3333333333333333
4,10.0,0.23416305916305916,0.26964285714285713,0.30303030303030304,146,131,33,0.5,0.2222222222222222,0.5,0.2
5,1.584893192461114,0.3390133831310302,0.33749999999999997,0.40625,103,132,32,0.42857142857142855,0.3125,0.5,0.6
