fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
1,10.0,0.25,0.27499999999999997,0.30303030303030304,698,131,33,0.5555555555555556,0.15789473684210525,0.6666666666666666,0.0
2,0.25118864315095824,0.16541248606466,0.19999999999999998,0.24242424242424243,161,131,33,0.5555555555555556,0.125,0.3333333333333333,0.0
3,1.584893192461114,0.3799564270152505,0.37142857142857144,0.36363636363636365,351,131,33,0.3076923076923077,0.4375,1.0,0.0
4,10.0,0.25132275132275134,0.26607142857142857,0.30303030303030304,730,131,33,0.25,0.16666666666666666,0.5,0.8
5,0.25118864315095824,0.27207602339181286,0.27638888888888885,0.3125,143,132,32,0.14285714285714285,0.25,0.75,0.4
