fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase
1,10.0,0.7892857142857143,0.8125,0.8333333333333334,20,44,12,1.0,0.75
2,0.25118864315095824,0.765151515151515,0.75,0.7272727272727273,19,45,11,1.0,0.625
3,10.0,0.5375,0.675,0.5454545454545454,20,45,11,0.3333333333333333,0.625
4,1.584893192461114,0.3839285714285714,0.4375,0.45454545454545453,20,45,11,0.2,0.6666666666666666
5,10.0,0.4392857142857143,0.5,0.5454545454545454,20,45,11,0.25,0.7142857142857143
