fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_Sowalsky
1,10.0,0.4770121381886089,0.515,0.52,20,99,25,0.0,0.5555555555555556,0.75
2,0.25118864315095824,0.6078431372549019,0.62,0.64,20,99,25,0.5,0.5882352941176471,1.0
3,0.25118864315095824,0.6153846153846154,0.6357142857142857,0.6,18,99,25,0.75,0.5294117647058824,0.75
4,0.25118864315095824,0.44640692640692636,0.4542857142857143,0.48,19,99,25,0.0,0.5294117647058824,0.75
5,10.0,0.6865079365079365,0.6883333333333332,0.7083333333333334,20,100,24,0.5,0.6875,1.0
