fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_Sowalsky
1,10.0,0.17888888888888888,0.2,0.24,147,99,25,0.0,0.2222222222222222,0.5
2,0.25118864315095824,0.31333333333333335,0.34500000000000003,0.4,38,99,25,0.5,0.23529411764705882,1.0
3,1.584893192461114,0.26209150326797387,0.31285714285714283,0.36,93,99,25,0.75,0.23529411764705882,0.5
4,10.0,0.4533333333333333,0.4928571428571429,0.52,146,99,25,0.75,0.47058823529411764,0.5
5,10.0,0.3253968253968254,0.305,0.375,143,100,24,0.25,0.3125,0.75
