fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase
1,0.25118864315095824,0.6333333333333333,0.6875,0.6666666666666666,40,44,12,1.0,0.5
2,10.0,0.580952380952381,0.6875,0.7272727272727273,445,45,11,1.0,0.625
3,10.0,0.9365079365079365,0.95,0.9090909090909091,432,45,11,0.6666666666666666,1.0
4,1.584893192461114,0.44166666666666665,0.47916666666666663,0.5454545454545454,126,45,11,0.6,0.5
5,10.0,0.6017857142857143,0.6875,0.7272727272727273,460,45,11,0.75,0.7142857142857143
