fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
1,10.0,0.33494152046783626,0.3541666666666667,0.3939393939393939,39,131,33,0.4444444444444444,0.3157894736842105,0.3333333333333333,1.0
2,1.584893192461114,0.33451363451363453,0.35000000000000003,0.3939393939393939,39,131,33,0.4444444444444444,0.25,0.6666666666666666,0.6
3,1.584893192461114,0.405755029284441,0.3904761904761905,0.3939393939393939,39,131,33,0.6923076923076923,0.25,0.0,0.0
4,1.584893192461114,0.2583083583083583,0.2863095238095238,0.2727272727272727,39,131,33,0.25,0.3333333333333333,0.5,0.0
5,1.584893192461114,0.3673202614379085,0.35000000000000003,0.40625,38,132,32,0.2857142857142857,0.3125,0.5,0.8
