fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_NIH_Clinical_Center,src_acc_Sowalsky
1,0.25118864315095824,0.3321350762527233,0.325,0.3333333333333333,22,131,33,0.3333333333333333,0.3157894736842105,0.0,1.0
2,1.584893192461114,0.2652828652828653,0.2833333333333333,0.30303030303030304,36,131,33,0.5555555555555556,0.125,0.3333333333333333,0.4
3,10.0,0.4582095464448406,0.44523809523809527,0.45454545454545453,39,131,33,0.3076923076923077,0.5,1.0,0.6666666666666666
4,10.0,0.3928825803825804,0.4047619047619047,0.3939393939393939,39,131,33,0.125,0.4444444444444444,0.5,0.6
5,10.0,0.6162907268170426,0.6152777777777777,0.59375,39,132,32,0.14285714285714285,0.625,1.0,0.8
