fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase
1,1.584893192461114,0.5568181818181818,0.5625,0.5833333333333334,45,44,12,0.75,0.5
2,10.0,0.40681818181818186,0.4375,0.5454545454545454,112,45,11,0.3333333333333333,0.625
3,0.25118864315095824,0.45833333333333326,0.44166666666666665,0.5454545454545454,12,45,11,0.6666666666666666,0.5
4,1.584893192461114,0.4083333333333333,0.47916666666666663,0.45454545454545453,44,45,11,0.4,0.5
5,10.0,0.25,0.3125,0.36363636363636365,115,45,11,0.25,0.42857142857142855
