fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase
1,1.584893192461114,0.48750000000000004,0.5,0.5,24,44,12,1.0,0.25
2,0.25118864315095824,0.1111111111111111,0.125,0.18181818181818182,11,45,11,0.0,0.25
3,10.0,0.30952380952380953,0.29166666666666663,0.2727272727272727,31,45,11,0.3333333333333333,0.25
4,10.0,0.45,0.4583333333333333,0.45454545454545453,31,45,11,0.4,0.5
5,10.0,0.3678571428571429,0.41666666666666663,0.45454545454545453,34,45,11,0.25,0.5714285714285714
