fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_Sowalsky
1,1.584893192461114,0.4704761904761904,0.515,0.52,34,99,25,0.0,0.5555555555555556,0.75
2,1.584893192461114,0.2733333333333333,0.27999999999999997,0.32,34,99,25,0.0,0.35294117647058826,0.5
3,10.0,0.5714285714285714,0.5928571428571429,0.6,38,99,25,0.5,0.5294117647058824,1.0
4,10.0,0.6599999999999999,0.6514285714285715,0.68,39,99,25,0.75,0.5882352941176471,1.0
5,10.0,0.4514285714285714,0.46333333333333326,0.5,39,100,24,0.25,0.4375,1.0
