fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase
1,10.0,0.5476190476190476,0.625,0.6666666666666666,108,44,12,0.5,0.75
2,1.584893192461114,0.3693181818181818,0.4375,0.6363636363636364,45,45,11,0.6666666666666666,0.625
3,10.0,0.6428571428571428,0.725,0.6363636363636364,108,45,11,0.3333333333333333,0.75
4,10.0,0.4345238095238095,0.41666666666666663,0.45454545454545453,87,45,11,0.4,0.5
5,1.584893192461114,0.25,0.2708333333333333,0.36363636363636365,42,45,11,0.25,0.42857142857142855
