fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_Sowalsky
1,0.25118864315095824,0.41383458646616533,0.41500000000000004,0.44,19,99,25,0.3333333333333333,0.3888888888888889,0.75
2,10.0,0.4485994397759104,0.475,0.48,20,99,25,0.75,0.4117647058823529,0.5
3,10.0,0.5028571428571429,0.5128571428571428,0.52,20,99,25,0.25,0.5294117647058824,0.75
4,1.584893192461114,0.5453968253968254,0.55,0.6,20,99,25,0.75,0.47058823529411764,1.0
5,1.584893192461114,0.4471428571428572,0.4616666666666667,0.5416666666666666,20,100,24,0.25,0.5625,0.75
