fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase,src_acc_Sowalsky
1,10.0,0.5433766233766234,0.5900000000000001,0.6,794,99,25,0.0,0.6111111111111112,1.0
2,10.0,0.4666666666666666,0.48,0.48,613,99,25,0.0,0.5294117647058824,0.75
3,10.0,0.6794227994227995,0.6828571428571429,0.68,764,99,25,1.0,0.5882352941176471,0.75
4,10.0,0.5986291486291486,0.6042857142857143,0.6,796,99,25,0.25,0.6470588235294118,0.75
5,10.0,0.5033333333333333,0.5033333333333333,0.5416666666666666,769,100,24,0.0,0.5625,1.0
