fold,C,macro_f1,balanced_accuracy,accuracy,n_nonzero_coef,train_samples,test_samples,src_acc_Audubon,src_acc_Fox Chase
1,1.584893192461114,0.4496753246753247,0.5,0.5833333333333334,45,44,12,0.5,0.625
2,10.0,0.42051282051282046,0.4375,0.5454545454545454,110,45,11,0.3333333333333333,0.625
3,1.584893192461114,0.4861111111111111,0.5166666666666666,0.5454545454545454,49,45,11,1.0,0.375
4,0.25118864315095824,0.5208333333333334,0.5625,0.5454545454545454,14,45,11,0.2,0.8333333333333334
5,10.0,0.48214285714285715,0.5,0.5454545454545454,124,45,11,0.5,0.5714285714285714
